category,content_id,id,user_id,body,position,created_at,updated_at
nitpick,35005937,1898102,10086,"### Code Quality ###
**Udacity Style Guide recommends:**
- ``forEach`` or ``for`` loops are preferred over ``for``-``in`` loops when iterating over an array.


See [requirement and examples here](https://udacity.github.io/frontend-nanodegree-styleguide/javascript.html#for-in-loop)

See [StackOverflow answer here](https://stackoverflow.com/questions/500504/why-is-using-for-in-with-array-iteration-such-a-bad-idea) on why you shouldn't use ``for`` - ``in``",34,2017-07-05T19:50:07.926Z,2017-07-05T19:50:07.926Z
awesome,35005937,1898097,10086,All good here with menu testing,79,2017-07-05T19:49:47.419Z,2017-07-05T19:49:47.419Z
awesome,35005937,1898094,10086,Nice job with `RSS Feeds` testings!,52,2017-07-05T19:49:19.099Z,2017-07-05T19:49:19.099Z
critical,35005937,1898093,10086,"The original *TODO* comment specifically ask for checking if there is at least 01 `.entry` element in the `.feed` container. The current implementation doesn't meet this requirement.

Please rewrite the jQuery implementation.

## Tip :zap: ##
You can select elements that are child of a container as this example:

```
document.querySelectorAll('.parent-class .child-class'); // Vanilla JS method

$('.parent-class .child-class'); // jQuery method
```",99,2017-07-05T19:49:07.865Z,2017-07-05T19:49:07.865Z
awesome,33678100,1858067,9503,"Excellent! :smiley:

You used styles to customize your layout. This way your code is more modular, saving a lot of code lines.

More informations about Styles can be found [here](https://developer.android.com/guide/topics/ui/themes.html).",67,2017-06-27T21:41:43.584Z,2017-06-27T21:41:43.584Z
awesome,33678100,1858060,9503,"In lines 25, 34 and others, you incremented the layout quality including all strings in file _/res/values/strings.xml_.

Unifying string resources in file _/res/values/strings.xml_ helps stimulates strings internationalization support.

Good job! :smiley:",24,2017-06-27T21:40:49.450Z,2017-06-27T21:40:49.450Z
nitpick,33678100,1858046,9503,"Your layout is excellent!

However, it is too long. You could split it into smaller layouts.

A tip to minimize it's XML layout size is to use the tag `include`.

More informations [here](https://developer.android.com/training/improving-layouts/reusing-layouts.html).",1,2017-06-27T21:38:44.762Z,2017-06-27T21:38:44.762Z
nitpick,35597111,1916498,10086,"The project rubric allows us to manipulate the layout/aesthetic components with jQuery or Javascript DOM methods.

But it's recommended that we implement this feature by using *Knockout* to completely utilize the MVVM pattern:
- You can use [`click` binding](http://knockoutjs.com/documentation/click-binding.html) and [`css` binding](http://knockoutjs.com/documentation/css-binding.html) to toggle an ""open"" class to expand / collapse the **toggle-menu**.

### Example :books:
Besides from the Knockout documentation, you can refer to [my Codepen example](http://codepen.io/NKiD/pen/PGOjRW?editors=1010). It shows simple example of toggling an element's appearance.",1,2017-07-09T05:23:00.546Z,2017-07-09T05:23:00.546Z
nitpick,27860437,1701864,7402,You can get rid of boilerplate `findViewById()` calls by using the ButterKnife library: https://jakewharton.github.io/butterknife/,60,2017-05-23T15:44:02.399Z,2017-05-23T15:44:02.399Z
nitpick,27860437,1701863,7402,"You can organize your code by using packages.
```
package com.projects.alexanderauer.bakingapp.fragment;
```",1,2017-05-23T15:43:53.721Z,2017-05-23T15:43:53.721Z
awesome,31697438,1812575,1755,"There really is a lot to try to remember. Just HTML5 has over 110 elements, some of which are deprecated and some of which are obsolete. So getting good at researching and finding the best resources is important.

An easy way to find what you need on [MDN](https://developer.mozilla.org/en-US/docs/Web/HTML) is google. Try something like, ""mdn p tag"" and it most likely show results from mdn first (it always does as far as I know). For deeper knowledge go to the [HTML5 specification](https://www.w3.org/TR/html5/) itself. It really isn't as bad as you might think :-).

For hands-on tools, you could take a look at sites like [http://jsbin.com/](http://jsbin.com/). These types of sites (there are quite a few) let you write code and see the changes in real time. They are excellent tools for trying out things in HTML, CSS and JavaScript, including trying out things with jQuery and other JavaScript libraries.",20,2017-06-18T11:09:40.787Z,2017-06-18T11:09:40.787Z
awesome,31697438,1812574,1755,"You definitely have HTML figured out! The next project is all about CSS, and then you'll start getting into coding with Javascript. I'm sure you are going to have a lot of fun with the next projects.",18,2017-06-18T11:09:30.815Z,2017-06-18T11:09:30.815Z
awesome,35990113,1926696,17283,**Nicely done fetching the strings** from `strings.xml` resource file.,52,2017-07-10T19:38:50.416Z,2017-07-10T19:38:50.416Z
nitpick,32098669,1822061,641,Always refer to the **[Udacity Style Guide](http://udacity.github.io/frontend-nanodegree-styleguide/css.html)**,28,2017-06-20T11:02:59.209Z,2017-06-20T11:02:59.209Z
nitpick,32098669,1822060,641,always prefer to have a space before the opening brace :),16,2017-06-20T11:02:46.345Z,2017-06-20T11:02:46.345Z
nitpick,32098669,1822059,641,always prefer to have a blank line after each rule :),11,2017-06-20T11:02:39.592Z,2017-06-20T11:02:39.592Z
awesome,32098669,1822057,641,Great work using 3 digit hex values where possible :),10,2017-06-20T11:02:32.222Z,2017-06-20T11:02:32.222Z
nitpick,32098669,1822055,641,you do not need to use any units if the value is 0 :),5,2017-06-20T11:02:19.956Z,2017-06-20T11:02:19.956Z
awesome,32098669,1822053,641,Awesome job using lowercase hex values for your color codes :),4,2017-06-20T11:02:16.031Z,2017-06-20T11:02:16.031Z
awesome,27403484,1688521,17283,Great job **managing your string resources** in `strings.xml`!,6,2017-05-20T21:38:02.191Z,2017-05-20T21:38:02.191Z
nitpick,31170225,1800125,39954,"You can allow for a number + decimal point here, as well as a maximum number of digits so as not to crash on a super long number...",56,2017-06-15T11:36:04.889Z,2017-06-15T11:36:04.889Z
awesome,31170225,1800056,39954,"By the way, very nice formatting work!",110,2017-06-15T11:08:00.198Z,2017-06-15T11:08:00.198Z
critical,31170225,1800055,39954,In this view you need to add an `ImageView` to allow the user to see and edit the photograph...,3,2017-06-15T11:07:40.435Z,2017-06-15T11:07:40.435Z
critical,28661873,1724051,92996,"You have used the wrong units of measurement for your views!
 
You should use `sp` (scale-independent) unit of measurement for text size and `dp` (density-independent) for everything else. This [StackOverflow thread](http://stackoverflow.com/questions/2025282/difference-between-px-dp-dip-and-sp-in-android) is quite useful if you want more details about the differences.",90,2017-05-28T18:04:34.938Z,2017-05-28T18:04:34.938Z
nitpick,28661873,1724048,92996,"Did you know that Android provides a resource file in which you can define all the colors you want to use in your app there and then you can reference them throughout your app just by using the name you defined? The main advantage is that you don't need to remember the hex color code, only the name you gave it.
 
Let me make it clear using an example:
 
Say you want to use the black color in some EditText widgets in your app, the hex color code for black is #000000. So, in the colors.xml resource file you can add this entry:
 
```xml
<color name=""edit_text_text_color"">#000000</item>
```
 
Once defined, you could reference it here like this:
 
```xml
android:textColor=""@color/edit_text_text_color""
```
 
Then, if you need to add another TextView and you want its text to be black, you can reference the same `@color/edit_text_text_color`.
 
After a while, you think black is just too boring and you want to change the text colors from your EditTexts to be red, now. In this case, instead of going through each EditText element and change its color, you only need to change the hex color code in the colors.xml resource file to #FF0000:
 
```xml
<color name=""edit_text_text_color"">#FF0000</item>
```
 
Tada... now, all elements in your app that are using `edit_text_text_color` will change its color from black to green.
 
If you want to go into details here, you can take a look at these links:
* https://developer.android.com/guide/topics/resources/more-resources.html#Color
* http://android4beginners.com/2013/06/appendix-b-everything-about-colors-in-android/",46,2017-05-28T18:04:15.933Z,2017-05-28T18:04:15.933Z
nitpick,28661873,1724046,92996,"It is a good practice to define all of your strings in the strings.xml resource file and refer to them wherever you need. The main advantage, in this case, is the easy addition of new language support, like Portuguese, French, Italian.  The only thing you need to do is create a strings.xml resource file for each supported language and for each key put its translation.
Read more [here](https://developer.android.com/guide/topics/resources/string-resource.html), you can also take a look at [non-translatable strings](http://tools.android.com/recent/non-translatablestrings).",25,2017-05-28T18:03:58.042Z,2017-05-28T18:03:58.042Z
nitpick,28341588,1715653,1392,There's no activity indicator during downloading but the TODO lines are correct. These are the places that we should start/stop the cell's indicator.,73,2017-05-26T13:58:09.737Z,2017-05-26T13:58:09.737Z
nitpick,27850189,1701242,46421,"If you haven't already, check out this course on how to write great READMEs: https://www.udacity.com/course/writing-readmes--ud777.",86,2017-05-23T12:40:46.435Z,2017-05-23T12:40:46.435Z
nitpick,30528267,1801483,63593,I see you fit the waypoints to a 3rd degree polynomial. This may be the source of the radical MPC trajectory changes that cause the car to veer off-road during sharp turns. Have you tried using a 2nd degree polynomial?,108,2017-06-15T18:55:39.790Z,2017-06-15T18:55:39.790Z
nitpick,30528267,1801470,63593,"Notice the simulator reports speed in miles per hour, however the MPC works in meters (the unit of car coordinates `x` and `y`) and seconds (time step durations are given in fractions of a second). Consider converting speeds back-and-forth between simulator and controller.",92,2017-06-15T18:52:47.454Z,2017-06-15T18:52:47.454Z
nitpick,35990108,1926701,17283,You might want to use the `ViewHolder` pattern to make your list more efficient. Here's an [example](http://stackoverflow.com/questions/3832254/how-can-i-make-my-arrayadapter-follow-the-viewholder-pattern),73,2017-07-10T19:39:16.511Z,2017-07-10T19:39:16.511Z
nitpick,35990108,1926700,17283,Consider checking out the [ButterKnife library](http://jakewharton.github.io/butterknife/) to reduce boilerplate code associated with binding the views,60,2017-07-10T19:39:11.188Z,2017-07-10T19:39:11.188Z
nitpick,28661872,1724060,92996,"When decrementing by 1, you can also do `teamB--;`.",58,2017-05-28T18:05:30.733Z,2017-05-28T18:05:30.733Z
nitpick,28661872,1724058,92996,"It is a good practice to define all of the attributes of a class with the `private` modifier, like this:
```java
private int score;
```


This way, the fields are not directly accessible by other classes and avoid other classes changing the values by mistake, for instance.
If still wanna make the fields visible to other classes you can implement [accessors methods](https://www.thoughtco.com/accessors-and-mutators-2034335).",10,2017-05-28T18:05:10.723Z,2017-05-28T18:05:10.723Z
awesome,27403485,1688522,17283,Nice job using **dp** and **sp** appropriately,26,2017-05-20T21:38:11.797Z,2017-05-20T21:38:11.797Z
awesome,32098668,1822048,641,Perfect use of classes :),15,2017-06-20T11:02:01.504Z,2017-06-20T11:02:01.504Z
awesome,32098668,1822047,641,Great job using the **alt** attribute correctly :),12,2017-06-20T11:01:52.074Z,2017-06-20T11:01:52.074Z
nitpick,32098668,1822045,641,**ids** can be used for styling but **classes** are recommended. This is because ids have to be unique but classes are reusable .,8,2017-06-20T11:01:41.264Z,2017-06-20T11:01:41.264Z
nitpick,32098668,1822044,641,Since we are using HTML5 we do not require any type attribute in the link or script tag. You can learn more about it **[here](https://developer.mozilla.org/en/docs/Web/HTML/Element/link)**,5,2017-06-20T11:01:36.306Z,2017-06-20T11:01:36.306Z
awesome,27860457,1701871,7402,"Great job using RTL attributes for dimensions. This ensures they are applied correctly across locales such as Arabic. See this link: https://medium.com/@zhangqichuan/rtl-support-in-android-898e11f31561

As a quick tip, with older versions of Android it may be a good idea to also add in the right/left equivalent for backward compatibility.",33,2017-05-23T15:45:53.052Z,2017-05-23T15:45:53.052Z
nitpick,35597106,1916491,10086,"Please use Markdown syntax to style your documentation for readability. Refer here:
- https://guides.github.com/features/mastering-markdown/

In order to preview your documentation, you can use an extension package for your code editor.
- If you use *Sublime Text Editor*, you can install and use [Markdown Preview package](https://packagecontrol.io/packages/Markdown%20Preview)

or you can copy markdown documentation into [StackEdit.io](https://stackedit.io/) to preview the documentation there 


### Reference ###
- See [this Udacity course on Writing Readmes](https://www.udacity.com/course/writing-readmes--ud777)
- See [this Markdown guide](https://guides.github.com/features/mastering-markdown/) to help you style your documentation",0,2017-07-09T05:19:01.996Z,2017-07-09T05:19:01.996Z
critical,35990112,1926705,17283,Please **remove unused method**. They'll be grayed out in `Android Studio`,40,2017-07-10T19:41:30.892Z,2017-07-10T19:41:30.892Z
awesome,35990112,1926697,17283,**Awesome job **using a `ViewPager` with `TabLayout`! The app **navigation looks and works sleek!**,30,2017-07-10T19:38:58.352Z,2017-07-10T19:38:58.352Z
critical,35990104,1926704,17283,"Please **move the user-facing tab titles** to `strings.xml` as well.

You can use the `context.getString()` method to fetch the tab title.",19,2017-07-10T19:39:48.919Z,2017-07-10T19:39:48.919Z
awesome,27850192,1701237,46421,Same with your secondary keys!,17,2017-05-23T12:39:46.707Z,2017-05-23T12:39:46.707Z
awesome,27850192,1701236,46421,Great job with declaring your primary key!,10,2017-05-23T12:39:33.897Z,2017-05-23T12:39:33.897Z
awesome,27850192,1701234,46421,"Great idea to put this code here, it definitely speeds up development!",1,2017-05-23T12:39:31.705Z,2017-05-23T12:39:31.705Z
nitpick,29743306,1763585,32286,Better if you can change `if` to `elif`:yum:,33,2017-06-06T14:08:35.283Z,2017-06-06T14:08:35.283Z
nitpick,29743306,1763564,32286,"Personally, I suggest keeping only one `return` statement for each function, you can use statements `level_chosen = easy_level` and `return level_chosen` to accomplish that. It helps others to view and understand your code more quicker easier to maintain.",38,2017-06-06T14:05:30.695Z,2017-06-06T14:08:11.007Z
awesome,29743306,1763554,32286,Congratulations:yum:,82,2017-06-06T14:01:00.604Z,2017-06-06T14:01:00.604Z
nitpick,35192287,1904002,5939,"Rather than showing and hiding this `View` manually `ListVIew` actually has a super handy `setEmptyView()` method that allows us to specify a `View` to be shown when the `LIstView` is empty.  The `ListView` then handles all the showing and hiding for us.

Check out [this guide here](https://cyrilmottier.com/2011/06/20/listview-tips-tricks-1-handle-emptiness/) if you're not sure how to do this :smile:",84,2017-07-06T20:25:48.976Z,2017-07-06T20:25:48.976Z
critical,35192287,1903991,5939,"This network check will throw a null pointer error if the device is in airplane mode.  Please check out [the docs](https://developer.android.com/training/monitoring-device-state/connectivity-monitoring.html) to see how to perform a network check properly, there's a critical line missing here that handles the airplane mode situation :smile:",78,2017-07-06T20:23:37.115Z,2017-07-06T20:23:37.115Z
nitpick,26961838,1676459,4203,"As mentioned in the Project Review, you shouldn't use `width` and `align` on the horizontal rule tag. If we check the code with the validator tool, it will point out this mistake.

![Screen Shot 2017-05-17 at 1.07.32 PM.png](https://udacity-reviews-uploads.s3.amazonaws.com/_attachments/4203/1495040903/Screen_Shot_2017-05-17_at_1.07.32_PM.png)
.

Instead, you can simply just put `<hr>`.",56,2017-05-17T17:08:28.658Z,2017-05-17T17:10:42.058Z
awesome,26961838,1676461,4203,"Overall, good job with your page! :smile:",62,2017-05-17T17:08:42.032Z,2017-05-17T17:08:42.032Z
awesome,26961838,1676451,4203,"Alright, the spacing here looks good! :thumbsup:",55,2017-05-17T17:07:25.956Z,2017-05-17T17:07:25.956Z
nitpick,26961838,1676438,4203,It looks like this line is missing its `<p>`. It has the `</p>` at the end.,27,2017-05-17T17:05:11.863Z,2017-05-17T17:05:11.863Z
awesome,26961838,1676437,4203,"Great job opening and closing your tags in the proper order, so there is no overlap. This is known as properly nesting your tags.

```html
<em><strong>Overlapping (not so good)</em></strong>

<em><strong>Not overlapping (good!)</strong></em>
```

----

![Suggestion](https://udacity-github-sync-content.s3.amazonaws.com/_attachments/4203/1483476189/Screen_Shot_2016-12-23_at_9.50.19_PM.png)
It looks like the `</p>` is missing. Whoops. Simple mistake.",22,2017-05-17T17:04:42.740Z,2017-05-17T17:04:42.740Z
nitpick,26961838,1676416,4203,"There's a lot of spacing in this file. You shouldn't put a blank line between each and every single part. Instead, try to use blank lines to separate different parts. This helps to show what parts go together.

```
<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <title>Example</title>
</head>

<body>
    <h1>Main Title</h1>
    <p>
        Some text here.
    </p>
    <p>
        Some more text here.
    </p>

    <h2>Section Title</h2>
    <p>
        Even more text here.
    </p>
    <p>
        Some other text here.
    </p>

    <h2>Section Title</h2>
    <p>
        Other text here.
    </p>
</body>
</html>
```

A little tricky to see the blank lines between the last paragraph and the next heading, but I hope you get the idea. It doesn't have to be something exactly like that. Basically, just use your formatting to help explain what's going on.

You may also find this read on formatting helpful: [Formatting & Indenting Your HTML](http://www.granneman.com/webdev/coding/formatting-and-indenting-your-html/)",10,2017-05-17T16:59:30.557Z,2017-05-17T17:03:25.351Z
awesome,26961838,1676394,4203,"Alrighty, the page looks good! :smile: I will be leaving some comments below.

If you'd like, you can check out the [Udacity style guide](https://udacity.github.io/frontend-nanodegree-styleguide/) that is used for FEND. Those guidelines are pretty good for helping you make your code nice. This will be something that comes up with future projects, and it'd be good to try to follow it if you can.",0,2017-05-17T16:51:49.072Z,2017-05-17T16:51:49.072Z
critical,29913853,1764017,4768,"You should not let the user introduce negative quantity, if the item quantity is zero, do not decrease any more items.",77,2017-06-06T15:36:21.111Z,2017-06-06T15:36:21.111Z
critical,29913853,1764009,4768,"Now you must update your cursor here, you could use the `IDColuumnIndex` variable in order to know the ID of the row to update :)",79,2017-06-06T15:35:18.578Z,2017-06-06T15:35:46.523Z
nitpick,31232711,1811809,39954,"You could just add a little to your descriptions right here: what class is needed to make the Player work???


Also all of your descriptions should go into this `strings.xml` resource file.",19,2017-06-18T05:53:17.555Z,2017-06-18T05:53:17.555Z
awesome,32509609,1833239,583,Great job in figuring out how to pass data between ViewControllers.,65,2017-06-22T16:51:33.712Z,2017-06-22T16:51:33.712Z
nitpick,32509609,1833238,583,"You could let the user know that the recording failed by showing an alert message. `UIAlertController` class can be used for this purpose. Please check the documentation to learn more about `UIAlertController` -

https://developer.apple.com/library/ios/documentation/UIKit/Reference/UIAlertController_class/",57,2017-06-22T16:51:12.566Z,2017-06-22T16:51:12.566Z
awesome,32509609,1833237,583,Great job declaring a helper method to configure UI.,19,2017-06-22T16:50:53.797Z,2017-06-22T16:50:53.797Z
critical,31170219,1800097,39954,"You will also have to add a line for the image...

`public static final String PRODUCT_IMAGE = ""image"";` or whatever you will use of course.",87,2017-06-15T11:25:36.590Z,2017-06-15T11:25:36.590Z
awesome,31170219,1800087,39954,"Good work creating an empty constructor and setting it `private`.
 
There are three common reasons to define a default constructor:
 
1. To construct an object with default values.
2. To initialize an object that doesn't need parameters in that initialization process.
3. To redefine the scope of the constructor. Making the constructor private will prevent anyone but the class itself from constructing an object.
 
The last reason here explains why to set the empty constructor as private.
 
There is much to read up on for the topic whether we need one or not. For example, see [**this post**](http://stackoverflow.com/questions/402514/why-might-one-also-use-a-blank-constructor) in StackOverflow, often a good source to have questions answered about programming details.",9,2017-06-15T11:23:09.835Z,2017-06-15T11:23:09.835Z
awesome,33478641,1855188,641,"You didnt leave much room for critique!! Your project was perfect and followed most standard practices :)

Great job on this project and all the best for the future ones :smile: :thumbsup:",57,2017-06-27T08:37:25.753Z,2017-06-27T08:37:25.753Z
awesome,33478641,1855185,641,Excellent job using all the comments! It is a very good habit to have. Helps you a lot when you are working on a large project with multiple developers :),22,2017-06-27T08:37:14.788Z,2017-06-27T08:37:14.788Z
awesome,33478641,1855183,641,Perfect job laying out the grid :),14,2017-06-27T08:37:02.757Z,2017-06-27T08:37:02.757Z
awesome,33478641,1855181,641,Brilliant job using media queries :),8,2017-06-27T08:36:51.985Z,2017-06-27T08:36:51.985Z
awesome,33478641,1855180,641,"Hey my name is Mani and I will be reviewing your project today :) 

If there are any mistakes in the review do let me know in the feedback and I will see to it that it is corrected. It will also help me greatly to be a better reviewer :) 

If you find the review helpful it will be awesome if you leave a feedback and let me know if  I am on the right track and was helpful :)",0,2017-06-27T08:36:40.081Z,2017-06-27T08:36:40.081Z
nitpick,34774145,1889059,7560,"These class fields should be final to final immutability. An object is considered immutable if its state cannot change after it is constructed. Maximum reliance on immutable objects is widely accepted as a sound strategy for creating simple, reliable code.
Immutable objects are particularly useful in concurrent applications. Since they cannot change state, they cannot be corrupted by thread interference or observed in an inconsistent state.
Programmers are often reluctant to employ immutable objects, because they worry about the cost of creating a new object as opposed to updating an object in place. The impact of object creation is often overestimated, and can be offset by some of the efficiencies associated with immutable objects. These include decreased overhead due to garbage collection, and the elimination of code needed to protect mutable objects from corruption.",7,2017-07-04T04:03:05.505Z,2017-07-04T04:03:05.505Z
nitpick,32986697,1846099,2988,"Good job! Your css is quite simple and clean. I have some suggestions for you to make your code look better. According to [Udacity Frontend Nanodegree Style Guide](http://udacity.github.io/frontend-nanodegree-styleguide/index.html),  
- All code has to be lowercase. This applies to CSS selectors, properties and property values (with the exception of strings).",3,2017-06-25T12:10:46.249Z,2017-06-25T12:10:46.249Z
awesome,31170223,1800119,39954,Good way to deal with the `Cursor`,106,2017-06-15T11:34:50.149Z,2017-06-15T11:34:50.149Z
nitpick,31170223,1800118,39954,? are those dummy data that we never get to see?,57,2017-06-15T11:34:30.911Z,2017-06-15T11:34:30.911Z
nitpick,28603567,1722450,92996,"According to [google Java style guide](https://google.github.io/styleguide/javaguide.html#s5.2.2-class-names):

> Classes names are written in UpperCamelCase

Thus, the name of this class should be ""PActivity"" or more descriptively ""PreferencesActivity"".",14,2017-05-28T10:26:30.436Z,2017-05-28T10:26:30.436Z
nitpick,27815301,1726635,8026,Consider refactoring (iterating on your work) here and in `movie_tile_content` if you want to include additional information from your `Movie` class.,140,2017-05-29T08:32:50.035Z,2017-05-29T08:32:50.035Z
awesome,34874244,1894629,411,"Variables are named in a consistent way(lowercase letters + underscores). Good job!

-------------------------------------------------

**Conventional naming rules**

[Constants](https://www.python.org/dev/peps/pep-0008/#constants):
Uppercase letters + underscores
e.g. INIT_X

Class:
First character is an uppercase letter.
e.g. Car

Local(global) variables:
Lowercase letters + underscores.
e.g. car_type",47,2017-07-05T04:02:42.991Z,2017-07-05T04:02:42.991Z
awesome,34874244,1894608,411,The code meets the requirements of PEP8 :star2:,50,2017-07-05T03:55:40.597Z,2017-07-05T03:55:40.597Z
awesome,34874244,1894605,411,You are using `noqa` keywords appropriately :thumbsup:,15,2017-07-05T03:55:07.325Z,2017-07-05T03:55:07.325Z
critical,29198290,1741203,590,The class name should start with the capita letter,11,2017-06-01T08:52:48.213Z,2017-06-01T08:52:48.213Z
critical,29198290,1741202,590,buttons are still squashed - please​ check tips in the last review,19,2017-06-01T08:52:32.782Z,2017-06-01T08:52:32.782Z
nitpick,30040182,1772395,262,"Instead of using generic `<div>` containers you can use semantic containers. A semantic element clearly describes its meaning to both the browser and the developer. Like this:
```
<footer class=""ProjectFooter"">
  <p>For more projects, please visit my <a href=""http://www.scottbryanbaker.com/"" target=""_blank"">architectural portfolio website</a>!</p>
</footer>
```

Tip: You can use `<header>` on line `13` instead of generic `<div>` too.

[You can read more about HTML Structural Elements here](https://www.w3.org/wiki/HTML_structural_elements)",65,2017-06-08T15:42:09.463Z,2017-06-08T15:47:14.396Z
nitpick,30040182,1772343,262,"Hello Scott! Try to use heading elements in order. Using heading elements in order provides a better structure to your webpage.

If the next heading size (`<h3>` in this case) is too big, you can use CSS to override the default font size. Like this:
```
h3 {
  font-size: 0.67em;
}
```

You can find the [default values for heading elements here](https://www.w3.org/TR/html5/rendering.html#sections-and-headings)

[Learn more about heading elements here](https://developer.mozilla.org/en-US/docs/Web/HTML/Element/Heading_Elements)",26,2017-06-08T15:30:35.753Z,2017-06-08T15:46:49.472Z
awesome,30040182,1772382,262,All your images look great and have a proper `alt` text set that describes what they are.,44,2017-06-08T15:40:22.653Z,2017-06-08T15:40:22.653Z
awesome,30040182,1772269,262,Nice! You added a Google Font to enhance the webpage's typography.,6,2017-06-08T15:08:55.021Z,2017-06-08T15:08:55.021Z
critical,27596553,1693758,31271,请为该函数添加注释。,38,2017-05-22T00:55:41.742Z,2017-05-22T00:55:41.742Z
awesome,27596553,1693757,31271,很棒！这个函数与偶了良好的注释。,14,2017-05-22T00:55:29.244Z,2017-05-22T00:55:29.244Z
critical,27596553,1693756,31271,请为该函数添加注释。,20,2017-05-22T00:55:09.936Z,2017-05-22T00:55:09.936Z
critical,33678096,1858037,9503,"It is missing an else statement in your code.

You could add an Else statement here or in lines 34, 40, 46 or 52.",27,2017-06-27T21:34:57.454Z,2017-06-27T21:34:57.454Z
